Iteration,QD-Score,Coverage,Maximum,Average
1,5993.852191239857,0.00051,333.78631300148555,117.5265135537227
2,13297.87515661609,0.00071,428.0488128615543,187.29401629036747
3,21943.57107274366,0.00084,623.6900958588813,261.23298896123407
4,36311.519108791224,0.00102,981.2824478163384,355.99528538030614
5,47347.40615023109,0.00109,1302.5618743971222,434.3798729378999
6,55249.73198280935,0.00112,1612.9788055628537,493.30117841794066
7,69494.267555333,0.0012,2197.9439239712433,579.1188962944417
8,76355.15756605435,0.00121,2572.8595886270514,631.034360050036
9,89225.29588692197,0.00125,3047.8683777115775,713.8023670953758
10,102438.59209627371,0.00127,3240.8678589747287,806.603087372234
11,119732.93386079086,0.00131,3243.7220764011377,913.9918615327547
12,134230.060530138,0.00134,3271.3524780010803,1001.7168696278956
13,139659.59578055108,0.00134,3616.0781859681474,1042.2357894070976
14,158568.30218570353,0.00138,3807.414276187867,1149.0456680123445
15,166107.75798767997,0.00139,3898.4582214423453,1195.0198416379853
16,181769.28190543802,0.00141,4146.831481933443,1289.143843300979
17,198633.67363440077,0.00144,4339.995025608689,1379.4005113500052
18,204649.87332396445,0.00145,4583.624481197912,1411.3784367169962
19,207622.89168029357,0.00145,4714.687438932992,1431.8820115882315
20,212665.75402707868,0.00146,4714.687438932992,1456.614753610128
21,226586.60474461748,0.00154,4714.687438932992,1471.3415892507628
22,231230.1581962531,0.00155,4714.687438932992,1491.8074722338908
23,233484.75120603287,0.00155,5010.110626172437,1506.3532335873088
24,238863.56827426303,0.00155,5538.452728294465,1541.0552791887937
25,241145.9555268487,0.00155,5554.34350584331,1555.7803582377335
26,243895.2966866596,0.00155,5555.993011407694,1573.5180431397393
27,245337.53537230444,0.00155,5940.363647459861,1582.822808853577
28,250647.4285188162,0.00156,6189.200012189988,1606.714285377027
29,259540.79728006088,0.00159,6386.2235107227,1632.3320583651628
30,262443.1553046156,0.0016,6386.2235107227,1640.2697206538476
31,266306.1775519075,0.0016,6654.84252927471,1664.4136096994218
32,268072.76980661176,0.0016,6786.94921878007,1675.4548112913235
33,270171.99947424233,0.0016,6786.94921878007,1688.5749967140146
34,276983.3555410532,0.00161,6854.8231200850805,1720.3935126773492
35,281883.96334729204,0.00164,6854.8231200850805,1718.8046545566588
36,282088.26043586835,0.00164,6854.8231200850805,1720.0503685113924
37,282881.1396529407,0.00164,6854.8231200850805,1724.8849978837845
